                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.36418,                0.32508,                0.93126,                0.45767,                  0.336,                0.95342,                 0.9668,                0.96004,                0.98684,                0.92083,                0.30035,                0.20268,                0.82716,                0.34898,                0.17634,                0.85235,               0.004654,               0.004654,               0.004654
                     57,                0.36228,                0.32321,                0.92499,                0.45257,                0.33753,                0.94621,                0.96953,                0.96037,                0.98616,                0.92084,                0.29963,                0.20481,                0.83011,                0.34399,                0.17991,                0.85104,               0.004555,               0.004555,               0.004555
                     58,                0.36406,                0.31641,                0.92268,                0.46394,                0.33378,                0.94563,                 0.9815,                0.95009,                0.98533,                0.92072,                0.29375,                0.19906,                0.82752,                0.34337,                0.17938,                0.85259,               0.004456,               0.004456,               0.004456
                     59,                0.35863,                0.32074,                0.92539,                0.45439,                0.33558,                0.94765,                0.97798,                0.95743,                0.98628,                0.92365,                0.29317,                0.20016,                0.82955,                0.34086,                0.17008,                0.85398,               0.004357,               0.004357,               0.004357
                     60,                0.35213,                0.31488,                0.92208,                0.44428,                 0.3276,                0.94393,                0.97761,                0.95184,                0.98563,                0.91868,                0.30086,                0.20675,                0.83281,                0.35281,                 0.1761,                0.85737,               0.004258,               0.004258,               0.004258
                     61,                0.35109,                0.31713,                0.92303,                0.44103,                0.32716,                0.94407,                0.98509,                0.95635,                0.98721,                0.92268,                0.29683,                0.20064,                0.83098,                0.34429,                0.16752,                0.85266,               0.004159,               0.004159,               0.004159
                     62,                0.35215,                0.31083,                0.92356,                0.43949,                0.32224,                0.94133,                0.97852,                0.95356,                0.98714,                 0.9246,                 0.2923,                0.19156,                0.83072,                0.33452,                0.16431,                 0.8487,                0.00406,                0.00406,                0.00406
                     63,                0.35192,                0.31138,                0.91968,                0.44148,                 0.3236,                0.93978,                0.97779,                0.95767,                0.98809,                0.92403,                0.29446,                0.18975,                0.83049,                0.33815,                0.16457,                0.84716,               0.003961,               0.003961,               0.003961
                     64,                0.34689,                0.30667,                0.92026,                0.43524,                0.32151,                0.94138,                0.97453,                0.96532,                 0.9868,                0.92528,                0.28683,                0.18829,                0.82601,                0.33056,                0.16048,                0.84616,               0.003862,               0.003862,               0.003862
                     65,                0.34638,                0.30652,                0.91879,                 0.4355,                0.31313,                 0.9381,                0.97431,                0.96094,                0.98654,                0.92538,                0.28701,                0.18991,                0.82436,                0.32948,                0.16542,                0.84399,               0.003763,               0.003763,               0.003763
                     66,                0.33999,                0.30423,                0.91887,                0.42646,                0.31316,                0.93811,                 0.9759,                0.95686,                0.98688,                0.92612,                0.28366,                0.18813,                0.82422,                0.32747,                0.16039,                0.84489,               0.003664,               0.003664,               0.003664
                     67,                0.33531,                0.29616,                0.91358,                0.42168,                0.30054,                0.93203,                0.98327,                0.95047,                0.98635,                0.92479,                0.28883,                0.18607,                0.82613,                0.33236,                0.15822,                0.84743,               0.003565,               0.003565,               0.003565
